CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,PaperlessBilling_Label,Contract_One year,Contract_Two year,PaymentMethod_Credit Card,PaymentMethod_Electronic Check,Contract_Ordinal,Tenure_minmax,MonthlyCharges_minmax,TotalCharges_minmax,Tenure_standard,MonthlyCharges_standard,TotalCharges_standard,AvgMonthlySpend,CustomerLifetimeValue,PaymentEfficiency,TenureGroup,HighValueCustomer,IsLongTermContract
C00001,6,64,1540,One year,Credit Card,No,1,0,0,1.0,0.0,1.0,0.0,1.0,0.07142857142857142,0.2458100558659218,0.1763053746967956,-1.4788065081594703,-0.9591853957110609,-1.1946210022510177,256.67,384,4.01,New,0,1
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,1,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.5195530726256984,0.20349802119239116,-0.7522868690139163,-0.012290311702639832,-1.1003046928351623,83.48,2373,0.739,Established,0,0
C00003,27,31,1455,Two year,Credit Card,No,1,0,0,0.0,1.0,1.0,0.0,2.0,0.3714285714285714,0.06145251396648045,0.1654538490999617,-0.4616790133556946,-1.5968902482065281,-1.2322589661024155,53.89,837,1.738,Established,0,1
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,0,0.0,0.0,0.0,1.0,0.0,0.7428571428571429,0.050279329608938536,0.8925060640878335,0.7976216944965991,-1.6355390271456474,1.2894846119412304,134.91,1537,4.652,Loyal,0,0
C00005,16,185,1023,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.21428571428571427,0.9217877094972068,0.11030256606664113,-0.9944600820624343,1.3790657301056524,-1.4235483823824602,63.94,2960,0.346,Established,1,1
C00006,55,44,7538,Two year,Electronic Check,No,0,0,0,0.0,1.0,0.0,1.0,2.0,0.7714285714285715,0.13407821229050282,0.9420400868122047,0.8944909797160063,-1.3456731851022532,1.4612908469334926,137.05,2420,3.115,Loyal,0,1
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,0,0.0,1.0,0.0,0.0,2.0,0.9285714285714286,0.44134078212290506,0.5130856632197114,1.4272720484227461,-0.28283176427647444,-0.026515724133522142,63.3,6534,0.639,Loyal,0,1
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.6033519553072626,0.37393080556619435,1.185098835374228,0.2775755303407544,-0.5091672605808574,50.62,7808,0.395,Loyal,1,0
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,0,0.0,0.0,1.0,0.0,0.0,0.9,0.5810055865921788,0.9975743648665901,1.3304027632033388,0.2002779724625159,1.6539086619377046,124.58,7936,1.005,Loyal,1,0
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,1,1.0,0.0,0.0,0.0,1.0,0.1857142857142857,0.558659217877095,0.725775564917656,-1.0913293672818414,0.12298041458427747,0.7111883673538727,417.43,1680,3.479,Established,1,1
C00011,59,57,5168,One year,Credit Card,Yes,0,0,1,1.0,0.0,1.0,0.0,1.0,0.8285714285714286,0.20670391061452514,0.639474020171071,1.0882295501548207,-1.0944561219979783,0.41185585484158044,87.59,3363,1.537,Loyal,0,1
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0857142857142857,0.5027932960893855,0.9093578450146814,-1.4303718655497668,-0.07026348011131868,1.3479341558045774,1040.29,770,9.457,New,0,0
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,1,0.0,0.0,0.0,0.0,0.0,0.7428571428571429,0.3687150837988827,0.4186135580237457,0.7976216944965991,-0.5340488273807494,-0.3541874094280433,64.87,4558,0.754,Loyal,0,0
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,0,0.0,0.0,1.0,0.0,0.0,0.09999999999999999,0.7709497206703911,0.7704583173752074,-1.381937222940063,0.8573072144275428,0.8661682185066868,774.25,1264,4.9,New,1,0
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,1,0.0,0.0,1.0,0.0,0.0,0.7428571428571429,0.2122905027932961,0.0777479892761394,0.7976216944965991,-1.0751317325284186,-1.5364622739366534,14.49,3074,0.25,Loyal,0,0
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,1,0.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.31843575418994413,0.4994255074684029,1.3788374058130424,-0.7079683326067859,-0.07389527862881101,62.63,5005,0.813,Loyal,0,0
C00017,19,187,4874,Two year,Credit Card,No,0,0,0,0.0,1.0,1.0,0.0,2.0,0.2571428571428571,0.9329608938547486,0.601940508106728,-0.8491561542333235,1.4177145090447716,0.28167277987321665,256.53,3553,1.372,Established,1,1
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,1,1.0,0.0,0.0,0.0,1.0,0.5857142857142857,0.45251396648044695,0.45665773011617516,0.2648406257898595,-0.2441829853373552,-0.22223313616079018,88.95,4242,0.881,Loyal,0,1
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0857142857142857,0.7597765363128492,0.6676879867228392,-1.4303718655497668,0.8186584354884235,0.5097145608552145,769.86,1092,4.935,New,1,1
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,1,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.4748603351955307,0.8565045321077492,-0.5101136559653983,-0.16688542745911675,1.1646151318695344,264.15,2730,2.516,Established,0,0
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,0,0.0,0.0,0.0,1.0,0.0,0.5285714285714286,0.6536312849162011,0.10736627090514489,0.07110205535104507,0.4514950355667909,-1.4337327726010738,26.32,5206,0.192,Loyal,1,0
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,1,0.0,1.0,1.0,0.0,2.0,0.34285714285714286,0.558659217877095,0.599514872973318,-0.5585482985751018,0.12298041458427747,0.2732595879534925,194.2,3000,1.618,Established,1,1
C00023,60,40,1755,One year,Credit Card,No,1,0,0,1.0,0.0,1.0,0.0,1.0,0.8428571428571429,0.111731843575419,0.2037533512064343,1.1366641927645245,-1.4229707429804916,-1.0994190936857178,29.25,2400,0.731,Loyal,0,1
C00024,30,100,3710,Two year,Credit Card,No,1,0,0,0.0,1.0,1.0,0.0,2.0,0.41428571428571426,0.44692737430167595,0.4533384399336142,-0.3163750855265838,-0.26350737480691483,-0.23374592510357065,123.67,3000,1.237,Established,0,1
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.34285714285714286,0.9664804469273743,0.9454870420017872,-0.5585482985751018,1.5336608458621293,1.4732464354509955,302.6,4825,1.568,Established,1,0
C00026,47,181,3295,One year,Credit Card,No,1,0,0,1.0,0.0,1.0,0.0,1.0,0.6571428571428571,0.899441340782123,0.40035746201966044,0.5070138388383775,1.301768172227414,-0.4175077486133359,70.11,8507,0.387,Loyal,1,1
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.8428571428571429,0.45251396648044695,0.4572960551512831,1.1366641927645245,-0.2441829853373552,-0.22001913828717853,62.35,6060,0.617,Loyal,0,0
C00028,20,56,3950,One year,Bank Transfer,No,1,0,0,1.0,0.0,0.0,0.0,1.0,0.2714285714285714,0.2011173184357542,0.48397804161879227,-0.8007215116236198,-1.1137805114675379,-0.12747402717021245,197.5,1120,3.527,Established,0,1
C00029,36,175,3682,One year,Bank Transfer,No,0,0,0,1.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8659217877094972,0.44976381973701013,-0.02576722986836215,1.1858218354100563,-0.24614431319579577,102.28,6300,0.584,Established,1,1
C00030,34,190,7540,One year,Bank Transfer,No,1,0,0,1.0,0.0,0.0,0.0,1.0,0.4714285714285714,0.9497206703910616,0.9422954168262478,-0.12263651508776936,1.4756876774534504,1.4621764460829374,221.76,6460,1.167,Established,1,1
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,1,1.0,0.0,0.0,1.0,1.0,0.3857142857142857,0.45251396648044695,0.572449891484744,-0.413244370745991,-0.2441829853373552,0.17938607811235938,165.82,2828,1.642,Established,0,1
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,1,0.0,0.0,1.0,0.0,0.0,0.12857142857142856,0.9832402234636871,0.5956849227626707,-1.285067937720656,1.591634014270808,0.2599756007118227,482.5,1960,2.462,New,1,0
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,1,1.0,0.0,0.0,1.0,1.0,0.6,0.9050279329608938,0.8898250989403804,0.3132752683995631,1.3210925616969735,1.2801858208720616,165.79,7826,0.911,Loyal,1,1
